Ticker,DateTime,Open,High,Low,Close,Volume
AAA,6/20/2020,12.75,12.9,12.7,12.9,1298560
AAM,6/20/2020,11.05,11.05,11.05,11.05,10
AAV,6/20/2020,5.70,6.10,5.50,6.10,748100
AAV,6/21/2020,5.70,6.10,5.50,6.10,748100
